dataset,seed,intervention_target,lag,DLL_var0,DLL_var1,DLL_var2,DLL_var3,DLL_var4,DLL_var5,DeltaJS,DeltaKin,DeltaStat,DeltaTE_XtoVar0,DeltaTE_XtoVar1,DeltaTE_XtoVar2,DeltaTE_XtoVar3,DeltaTE_XtoVar4,DeltaTE_XtoVar5
DatasetD,9,1,1,0.1842011717096836,55.32313989758247,220.18939749445232,,,,0.09142069527036936,0.3716817463324186,0.3817677766764447,0.08633514667479858,0.0,0.0950553415031532,,,
DatasetD,9,1,10,,,,,,,0.10007927248242848,0.6937568225544237,0.3818771596323681,0.08492198299503118,0.0,0.0963311484896403,,,
DatasetD,9,1,50,,,,,,,0.09646231706000408,0.7106620223315195,0.38189028257464375,0.08289198520827723,0.0,0.09439346861424136,,,
DatasetD,9,2,1,0.1447349918624976,0.04470578232040821,83.67817828215455,,,,0.0933343899727386,0.12168173838015695,0.21572634065912996,0.07934198350544763,0.08612686755557108,0.0,,,
DatasetD,9,2,10,,,,,,,0.10788175348643202,0.44375681457217114,0.21574136643674585,0.09433021595393676,0.0804689576635722,0.0,,,
DatasetD,9,2,50,,,,,,,0.10707921227420784,0.460662014285667,0.2159033399459143,0.08220611585948845,0.09170683845293892,0.0,,,
DatasetE,0,0,1,49.44650247093428,0.05918526342878207,0.0005157214838057828,0.4522236637647035,0.5608707153730399,0.14750386866680248,0.3287653870694053,0.2549783073823627,0.5519621422826955,0.0,0.2295280175589023,0.2094084329054977,0.10197908132585276,0.09170879330273518,0.08192643898954843
DatasetE,0,0,10,,,,,,,0.25087362491292053,0.8024218708497964,0.5515692617168082,0.0,0.07830607295060155,0.08917347307548651,0.08781987199956331,0.10049597820461509,0.11263220394915763
DatasetE,0,0,50,,,,,,,0.24779198910028868,0.7989326189284083,0.5510214725533455,0.0,0.08357752722623601,0.08610811584854838,0.08864997934195173,0.08305053311448596,0.08770409267050905
DatasetE,0,1,1,0.21620305037719936,66.036193409485,0.03699569918503534,0.5216446637551501,0.09716457802569155,0.005179850221179521,0.31207391473313184,0.16118744819361053,0.4311559020960346,0.08468704686439077,0.0,0.08780311794101547,0.2065800019801054,0.08691070615833585,0.10352436220869432
DatasetE,0,1,10,,,,,,,0.25682281355545034,0.7086611075354321,0.43083557219950847,0.09410660537269822,0.0,0.08789312691563245,0.08349416667248022,0.09118529617625093,0.09181224607863347
DatasetE,0,1,50,,,,,,,0.26138208117626316,0.7051718721170063,0.4305784087041862,0.08188919896160352,0.0,0.10177020870219167,0.08861413588598133,0.08721478630651802,0.08111677086166669
DatasetE,0,2,1,0.18282505259276866,0.41335978212340746,52.76151762194649,0.4013826868537093,0.005945562822853726,0.007324570319645245,0.30844935994777684,0.16118749229769358,0.4287000215282385,0.08747559336901922,0.0895670173586911,0.0,0.09803170047674348,0.19801828266521948,0.0990155434763611
DatasetE,0,2,10,,,,,,,0.26216713489901894,0.7086611284374188,0.4282078225206015,0.08521677260972327,0.0898701710881884,0.0,0.09074786276213098,0.09197926011631452,0.09016755196137094
DatasetE,0,2,50,,,,,,,0.26087143641337035,0.705171865673754,0.4274926070155217,0.082210269660008,0.08726616880229887,0.0,0.08756549788582912,0.08562573650989913,0.09176232747093405
DatasetE,0,3,1,0.23434267468856695,0.0618383643822376,0.23577505246523567,52.56654317093864,0.001391864950618645,0.0005308148155754007,0.27749957249147345,0.0673783387308603,0.33755571189983163,0.08575187528083905,0.08527073044371347,0.08445887512812811,0.0,0.08513563039814342,0.15669413295117285
DatasetE,0,3,10,,,,,,,0.2577139399313039,0.6148905571628456,0.3376237490936338,0.093728795577388,0.09333130271396461,0.07796631281300614,0.0,0.08369464193672727,0.08681299013510868
DatasetE,0,3,50,,,,,,,0.2571300440774245,0.6114013250788191,0.337071040802836,0.08835822386444825,0.08842018428355924,0.08347898379707974,0.0,0.07887512396678797,0.08928205045465942
DatasetE,0,4,1,0.08517509810766924,0.020752443119625496,0.008781249231809956,0.12376924696108038,48.218736185418706,0.4147607992325927,0.2797728447031215,0.051777291707329254,0.33956025981523025,0.08443760988099758,0.08640285740520692,0.07498312579462363,0.08251656878562041,0.0,0.17070863839706796
DatasetE,0,4,10,,,,,,,0.2529420600866206,0.5992756035425233,0.33897367348372587,0.08839550376341077,0.08390423632474331,0.08642135679871554,0.09231986214282673,0.0,0.08363663428846735
DatasetE,0,4,50,,,,,,,0.2539746930157177,0.5957863310618708,0.338206062305434,0.08568139502555905,0.08090777419904249,0.08609805302527773,0.08595340048495137,0.0,0.08042652099589542
DatasetE,0,5,1,0.6682617715179076,0.016626258610858792,0.02648373826490803,0.39585205878794,0.31277590606621836,86.34880214482851,0.23865639430104094,0.008987265743101158,0.22915118116437905,0.08487314288681258,0.08560712711304852,0.08807896217481215,0.07777126471542073,0.08081636534709036,0.0
DatasetE,0,5,10,,,,,,,0.2318331759088278,0.38050555583586726,0.2286842692965742,0.08654438550502519,0.08901206198890321,0.08763914961136177,0.07745127451365752,0.08804835292181856,0.0
DatasetE,0,5,50,,,,,,,0.2307274070590376,0.37701629614097965,0.22812711031692975,0.08716807736714882,0.08168708264932745,0.08854747912120331,0.08302529224942967,0.08766590788939999,0.0
DatasetE,1,0,1,45.868955238553355,0.26401099620373797,0.11927104902145813,0.02262914546929591,0.021371368400430503,0.031285894562841504,0.30034986236286815,0.32475795894234716,0.5619037176975019,0.0,0.21044973214299767,0.22121489943704487,0.09759288648100939,0.10242873255218155,0.08227767640825734
DatasetE,1,0,10,,,,,,,0.21672579958169436,0.8454937915486552,0.5614601772981185,0.0,0.0969152822997783,0.09162572514719214,0.08713165009256629,0.09309785860739694,0.09106926187365305
DatasetE,1,0,50,,,,,,,0.21787832416253933,0.8496072758337763,0.5606453839390213,0.0,0.0883539266291824,0.09793426407481798,0.0920453965076522,0.08523772517600348,0.0853930085307848
DatasetE,1,1,1,0.04970608130511992,71.3192767639321,0.00038322005109586726,0.32700220603229024,0.06338693534723483,0.1522020778268289,0.30081820855737346,0.19977869876304166,0.44717287661600186,0.0851233711070325,0.0,0.0837505569186412,0.20578784092756663,0.1017446702091429,0.10759828473519706
DatasetE,1,1,10,,,,,,,0.2521446126111193,0.7205080371945568,0.4468208237147007,0.08661997870300908,0.0,0.08562724553777823,0.09126194456486081,0.0913066794656805,0.09825830537334213
DatasetE,1,1,50,,,,,,,0.25071530823406835,0.7246214953808714,0.4462517631081111,0.08748694079899533,0.0,0.0982818777451211,0.09102472518311577,0.0880393205335257,0.09212502312227189
DatasetE,1,2,1,0.02291050397170255,0.19437348863302886,55.60748511653379,0.21681151257010642,0.245244403117222,0.0028826507417358095,0.2794913446187772,0.23099688025243792,0.43063474737111274,0.08966283333351166,0.09655544863701859,0.0,0.0982088260860956,0.20870502912323663,0.10589035562368387
DatasetE,1,2,10,,,,,,,0.23896496671028644,0.7517380340134043,0.430139258745145,0.09152366200836903,0.09032477658464222,0.0,0.08693843809660562,0.08684474070816828,0.08698789200408674
DatasetE,1,2,50,,,,,,,0.23653321825970783,0.755851511852172,0.42880848615615763,0.09004884631544208,0.08533607696553203,0.0,0.09497479842365175,0.08557977915040249,0.08782127102126536
DatasetE,1,3,1,0.07747475630420912,0.0008045232928401986,0.15678244812951123,43.95609933741146,0.04266805734152365,0.3906472018252615,0.2786636397715972,0.09038137879463748,0.34415099025329055,0.08381665648772074,0.08688970993499501,0.08339296610577795,0.0,0.08438403955543738,0.1702632821781065
DatasetE,1,3,10,,,,,,,0.26009768038711434,0.6111224603145765,0.3439216765487328,0.08476744219838217,0.0814429054618997,0.08218906742329857,0.0,0.08645708804015939,0.08621250638638456
DatasetE,1,3,50,,,,,,,0.25294659700222827,0.6152359184698164,0.34311943292759983,0.09241147583944542,0.08865123033397282,0.09160523600176695,0.0,0.08721846038261383,0.08680836066656905
DatasetE,1,4,1,0.026049450433123383,0.0037223495986654235,0.055055605977249886,0.03625382739814246,43.70114694773019,0.007974332534063277,0.263076425730014,0.10599635929416162,0.3401030980730746,0.08318726234919316,0.09001750746031423,0.08939663776570961,0.08126661026442172,0.0,0.1715694646556356
DatasetE,1,4,10,,,,,,,0.24317007451129044,0.6267374733509997,0.34017399787139313,0.08262161132318369,0.08898689417529448,0.0915719545885656,0.08348466933718379,0.0,0.08346741151680614
DatasetE,1,4,50,,,,,,,0.24216639889580452,0.6308509447214151,0.3387873318635486,0.08197480380122046,0.09028451832477646,0.08793797861518149,0.09107712793467337,0.0,0.08782648457171671
DatasetE,1,5,1,0.022226953969566074,0.2707388544822505,0.06168793272900603,0.10450252348161782,0.5661391063941165,85.05374674999618,0.23229173742341927,0.05318536468513657,0.22692622611344082,0.08048638889081028,0.08847627783720613,0.0808972494271345,0.08093664622230934,0.07932203383296432,0.0
DatasetE,1,5,10,,,,,,,0.22920952261551464,0.37673735583415086,0.22688429025701642,0.08621547337021562,0.08520736478458524,0.0848826738333659,0.08434157757727911,0.08914939394185506,0.0
DatasetE,1,5,50,,,,,,,0.2297330217864435,0.38085082607519394,0.22591088987823374,0.09001196520601695,0.09118733174732574,0.09106647687003244,0.07739533550956912,0.08230903248050847,0.0
DatasetE,2,0,1,47.569725308490455,0.05733494008356568,0.003913523716852669,0.08435623683786121,0.10816036263129312,0.010793684862822157,0.325137994165012,0.3150455272909819,0.5584788821871631,0.0,0.2208100393608441,0.2211434527901246,0.09368243984411295,0.09754145831178596,0.08482126839105786
DatasetE,2,0,10,,,,,,,0.226540594256263,0.8361591139104558,0.5582348460751614,0.0,0.07670091753539987,0.08679768164778157,0.08276396790800211,0.08309949177442011,0.0914520712385789
DatasetE,2,0,50,,,,,,,0.22431018395251603,0.8340022385539723,0.5576419885919794,0.0,0.08597284013736806,0.08270378165051406,0.08857006647409182,0.08443135634139765,0.0875103415061953
DatasetE,2,1,1,0.6452469677677363,57.384747298847586,0.1450561856380293,0.33434393250725675,1.1804149327353413,0.028052534921583043,0.30704983553437104,0.19008186845844544,0.4277463365950224,0.09057142825113917,0.0,0.09773944356806452,0.19507583688412522,0.10077390233866157,0.10553342972375979
DatasetE,2,1,10,,,,,,,0.2551185084498756,0.7111733546186874,0.4273820937654063,0.09044408243687307,0.0,0.07880813098032347,0.08607532781551708,0.09127109534341749,0.08859283701597276
DatasetE,2,1,50,,,,,,,0.2561252249205664,0.709016471542377,0.42674813317536786,0.08927993227953923,0.0,0.0971487475537538,0.08703452908467835,0.09107222510779733,0.07960391821665613
DatasetE,2,2,1,0.06057305296274765,0.03095460001205796,72.41656116488119,0.03566416357269736,0.1653627074422703,0.5606377916815394,0.30652854140752817,0.1900818156647892,0.4304630275815867,0.08697048100653504,0.08981293694997028,0.0,0.10022589277121896,0.19185271184336816,0.09472482367556356
DatasetE,2,2,10,,,,,,,0.25547838986318755,0.7111733271936209,0.43052091497673073,0.0862191121851148,0.0969063973150659,0.0,0.09068680576017574,0.09278647791529959,0.086097247884656
DatasetE,2,2,50,,,,,,,0.2586296122119752,0.7090164694110663,0.42994467323473723,0.08529924925528265,0.0921428407994771,0.0,0.08563740540231235,0.0763218746698846,0.09117158570997708
DatasetE,2,3,1,0.02980406874315465,0.023013375255555253,0.06412843398240067,44.166141576967,0.03193934597921747,0.20593224773216223,0.2852862095207297,0.08067169943276065,0.33995397663888444,0.08834958630746748,0.08898594275202143,0.0850009248357495,0.0,0.08015724372130584,0.17773548654011173
DatasetE,2,3,10,,,,,,,0.25670298341749437,0.6017878202391291,0.33966932861713023,0.08375079368293514,0.08311339977556553,0.08790316028537681,0.0,0.08955190289945225,0.08628836258410733
DatasetE,2,3,50,,,,,,,0.25858950039419837,0.5996309366118273,0.3389132349915196,0.08237963499940681,0.08450503609848958,0.0823697843247242,0.0,0.09643662363307692,0.08347079967712157
DatasetE,2,4,1,0.00419302265638281,0.013292075181079792,0.07255850493746985,0.0008663309885417242,42.361546147793504,0.0020401302699559454,0.2789927573175737,0.09627266474546647,0.33680485255147896,0.08419816560252569,0.08734445249634448,0.08513420119699,0.08583422776032501,0.0,0.16406572016706034
DatasetE,2,4,10,,,,,,,0.251928031581813,0.6174028361063095,0.3373397126858878,0.08916160480816204,0.09235993168588541,0.08671631588013273,0.08576678995995124,0.0,0.07976102575967126
DatasetE,2,4,50,,,,,,,0.25678073960102427,0.6152459635380136,0.3377541645765132,0.08515696871009037,0.09286490901758304,0.08543012188607868,0.08606717747160308,0.0,0.08346477399270968
DatasetE,2,5,1,0.02289683000080055,0.02673526023640748,0.5897052370289808,0.046078185621668766,0.24297781482994057,84.70436878807057,0.23736913104636923,0.03505682089476214,0.22892623300041295,0.08477979282644954,0.0829896004188242,0.0854442369883257,0.08556645074934055,0.0787959999756036,0.0
DatasetE,2,5,10,,,,,,,0.2305782702040706,0.3830178544646895,0.22870013956724125,0.08538560286399477,0.08425138310572544,0.08324841278419859,0.08515307157324248,0.08936765715765738,0.0
DatasetE,2,5,50,,,,,,,0.23452831846727276,0.38086094897630335,0.2284663497648981,0.08420829791073547,0.08249311564056194,0.08158744270302565,0.0857154140214722,0.0878807603166516,0.0
DatasetE,3,0,1,49.47311493644185,0.22656275270494747,0.03812997770409215,0.1116990285769296,0.11079809030506055,0.09645383119869828,0.32121192501353224,0.37251469779039614,0.5570031007590256,0.0,0.21978407149258028,0.2199573169038771,0.09094890538517864,0.0951051618026868,0.08777214907442388
DatasetE,3,0,10,,,,,,,0.22546601128443866,0.81944925568521,0.5574575812098748,0.0,0.09715541092011559,0.09023226119680361,0.08498332147546339,0.0859853932126673,0.0919035879302954
DatasetE,3,0,50,,,,,,,0.23095957252032756,0.8026936496055921,0.5571304824857686,0.0,0.08697300080546455,0.08633260576637047,0.08718683797747806,0.0783516559529156,0.07671538256017518
DatasetE,3,1,1,0.09868107381885176,64.28221103738274,0.32405119979408625,0.0030620736135358283,0.04043668426301288,0.036637230763703614,0.30195932611837567,0.2787552587977833,0.43067779075117435,0.09281426706568485,0.0,0.08693368124990841,0.19923817110407382,0.09306304329445281,0.1020230066825385
DatasetE,3,1,10,,,,,,,0.25026446707063127,0.7256884912002575,0.43058276086701563,0.08490058355086694,0.0,0.08783239392257647,0.08338705793937162,0.09571782210344804,0.0924764199961321
DatasetE,3,1,50,,,,,,,0.25409399080810335,0.7089329037496886,0.43098184753321744,0.08656925761607148,0.0,0.09658897160685909,0.0914789711141677,0.08921816647873904,0.09001675721375513
DatasetE,3,2,1,0.11281148764421807,0.004042622294107394,66.09203450796633,0.0017840255923880582,0.1836526555552332,0.010724434241648111,0.30502972627655495,0.27875526121053706,0.43650368845291326,0.0850730680659133,0.09340922876848157,0.0,0.09137193688300638,0.20735624237258077,0.10605042766618822
DatasetE,3,2,10,,,,,,,0.2437539417702039,0.7256884915103219,0.4364082541383264,0.08823900463232359,0.0893524868456903,0.0,0.07798154603970131,0.0826246971833422,0.09350957602779664
DatasetE,3,2,50,,,,,,,0.2538106868296589,0.7089329071543815,0.43612119682376393,0.08496257538295193,0.09079133349200319,0.0,0.07989095088121045,0.08781914590093276,0.08692897702142588
DatasetE,3,3,1,0.052438835435642976,0.07512845578658808,0.07428363114418834,41.19537120274493,0.06087721328028455,0.4372902047177319,0.2741186049435341,0.15375674394687988,0.33441300022345605,0.0905611170970766,0.08914786427222965,0.09203755082885001,0.0,0.08485230268109367,0.17393708307301115
DatasetE,3,3,10,,,,,,,0.2586026393955287,0.6006878976988494,0.3344785445460029,0.08823765320282506,0.09675712738064979,0.08598830112924549,0.0,0.09198310970200163,0.08042551832454459
DatasetE,3,3,50,,,,,,,0.25882354182917744,0.5839323863371517,0.3351401992335555,0.08375807211809772,0.08568108188865375,0.08830053689421158,0.0,0.08383700572704011,0.09341759404943284
DatasetE,3,4,1,0.04331845205079742,0.10051670950256676,0.09359772815602943,0.31213015390782783,48.48234972872172,0.07912719323076496,0.2812709953734852,0.1537567629894836,0.3369735646477142,0.08861392260237722,0.08353362891145455,0.08573038374913855,0.08400893380024343,0.0,0.17213753688700395
DatasetE,3,4,10,,,,,,,0.25751948907617483,0.6006878998587283,0.3375871472526985,0.0871759889659467,0.08684637675999474,0.08608577414238683,0.08701049524613769,0.0,0.080022524022894
DatasetE,3,4,50,,,,,,,0.2599811088551051,0.5839323761105355,0.33798223283866163,0.09427041536010972,0.08783510579982368,0.08718373507122124,0.08994408836181211,0.0,0.0972692445618013
DatasetE,3,5,1,0.5991383950203941,0.020891564771849645,0.0009643087332970275,0.20378585069279803,0.25502411002778463,105.51991627469184,0.23947314975444198,0.028256665725302277,0.22947907819046748,0.0834862037124382,0.08092762284833133,0.08959155081114156,0.0806508521603484,0.08008905583791992,0.0
DatasetE,3,5,10,,,,,,,0.23800573237466052,0.36630275349117175,0.22976829653032682,0.08053730032940232,0.08812498148390357,0.08866183141645712,0.08403567686147584,0.08204831065999318,0.0
DatasetE,3,5,50,,,,,,,0.24131266325570444,0.34954736145740417,0.22971716067227474,0.07734909740690021,0.0910749829211448,0.08811152836248182,0.09426421980630595,0.08566839801718729,0.0
DatasetE,4,0,1,49.423752754953036,0.022324601727979464,0.25579528288598075,0.0006366737209703357,0.15667501733317046,0.09021253116513486,0.31485948074794656,0.3319620246224382,0.5556445211469117,0.0,0.22496695094174846,0.20993108092284962,0.09328004866210149,0.09563062951889023,0.08431937723665706
DatasetE,4,0,10,,,,,,,0.2264014701873136,0.8116476177088906,0.555473004895156,0.0,0.08537986473156511,0.09201586132570094,0.09485363715819739,0.08965863823771425,0.09977804396176948
DatasetE,4,0,50,,,,,,,0.22694851953720308,0.8028754066688694,0.558331857324169,0.0,0.08757726044392378,0.08883601079580439,0.08597624504229984,0.07790232297208499,0.08402782792512076
DatasetE,4,1,1,0.003624099273005534,62.306889918208086,0.006544258710509201,0.0993849680207481,0.3092226107052065,0.08203257144719181,0.29143150764766074,0.2537836248533233,0.4296881776212217,0.07652769903696033,0.0,0.085480696988947,0.18676813846787854,0.09286524941504903,0.09623283703523211
DatasetE,4,1,10,,,,,,,0.24221825762819874,0.7335018753446709,0.42951647133124116,0.08189189691105403,0.0,0.08333684059835456,0.09469206110414108,0.08734055458958556,0.0884331737204831
DatasetE,4,1,50,,,,,,,0.23677344179828577,0.7247296496579649,0.4319470420736325,0.08790743032621195,0.0,0.08962142468027112,0.08299936433546184,0.0814408023529305,0.08425499855891161
DatasetE,4,2,1,0.015110922192774538,0.2933247656391839,52.48295071934002,0.0030102146104849375,0.2173979053444214,0.01584981708975293,0.29588965116189353,0.23818045183770864,0.43306405010951654,0.08436646185765939,0.09087925510648809,0.0,0.08984688830824372,0.19907306359990518,0.09172309179671001
DatasetE,4,2,10,,,,,,,0.2437857420525134,0.7178868615768359,0.4327749282626746,0.08254433666504823,0.08538115456698447,0.0,0.0814269768736926,0.08640780454167363,0.08932052231366905
DatasetE,4,2,50,,,,,,,0.2420336851674075,0.7091146356484959,0.43361084814660805,0.0913434926965353,0.0869002485210868,0.0,0.08267767182596142,0.09192213061755572,0.07941006528291927
DatasetE,4,3,1,0.0010527421855220818,0.007215418846488033,0.026825048072400628,47.25859143359144,0.08203542331724188,0.04309149272419308,0.2653040553584145,0.12878308603253663,0.33746831789795684,0.08717298005702068,0.07447582167706224,0.08381130963711136,0.0,0.08267424310249138,0.1631457905672955
DatasetE,4,3,10,,,,,,,0.2471783261820845,0.6085013127274814,0.33778070637601887,0.08520711147000037,0.10048792981185128,0.08159120090170546,0.0,0.08994319749898505,0.08649614993086985
DatasetE,4,3,50,,,,,,,0.24454193715024383,0.5997290725824689,0.3394261008363584,0.09505117001660679,0.08571543346803345,0.08792210497477804,0.0,0.08402194784823669,0.09248631843795918
DatasetE,4,4,1,0.011436042750380272,0.29218034379902125,0.057548875004268335,0.09923256386048275,46.57243130437759,0.0008171599661969534,0.27172574910563013,0.12878312139021098,0.3405409971087376,0.08256314220409022,0.08799837660917609,0.0916456535219301,0.09358947472123158,0.0,0.1532325387298581
DatasetE,4,4,10,,,,,,,0.2513526399110553,0.6085012938489873,0.3401798191971337,0.09162887763244143,0.089340098738802,0.08172045999173472,0.08379417448124071,0.0,0.08404093071548102
DatasetE,4,4,50,,,,,,,0.2494643029223725,0.5997290687162464,0.34085973242183537,0.08469158002608479,0.08440367163760376,0.08492363269862624,0.08648987208719827,0.0,0.08288779146538339
DatasetE,4,5,1,0.16598639052235808,0.0028293822670687175,0.0074460314863597455,0.09594810835543756,0.006583633481237324,88.83918378318042,0.2335775591973963,0.07375865459087505,0.22761354718348858,0.08560136842020372,0.08440696293238314,0.08890232548319132,0.08339608750567384,0.07644303189785084,0.0
DatasetE,4,5,10,,,,,,,0.23045489577801667,0.35850123449044324,0.22759847360760563,0.08016766113055374,0.08146275205713849,0.09073949760834532,0.08730545871728612,0.0830196984673397,0.0
DatasetE,4,5,50,,,,,,,0.23258698308572393,0.3497289448451103,0.22854868675770715,0.08788571631595099,0.09019035588617186,0.08877553643202774,0.08730255951465171,0.08592569447546383,0.0
DatasetE,5,0,1,44.3641351484397,0.009610557154488148,0.7862382897375207,0.1946458160165356,0.0005525153423580436,0.010884668761439129,0.32525731162384564,0.27024920141517383,0.5515967914229466,0.0,0.2235208386689238,0.21389325877123078,0.09737534522253632,0.08795049360001683,0.08551238562282726
DatasetE,5,0,10,,,,,,,0.2517548626674,0.7777361820466999,0.5513998248763577,0.0,0.0918319514318684,0.08628674170365747,0.09069255448024371,0.0815141085420148,0.10419226962945993
DatasetE,5,0,50,,,,,,,0.2492117315349097,0.80294752165457,0.5508025706816546,0.0,0.0843234101381487,0.0952449772852142,0.0861019917392265,0.09585919424777067,0.08761912290496987
DatasetE,5,1,1,0.03904567133233599,77.24173530380143,0.028307493793218563,0.04260059260541489,0.0103825309218721,0.7487389876807434,0.3040760321736026,0.17645838661835078,0.42888875537671545,0.08453871041838257,0.0,0.09537505456538442,0.20976026292280414,0.09407872591241828,0.09344092950072636
DatasetE,5,1,10,,,,,,,0.26539024290895147,0.6839754343648756,0.4284414091209957,0.08789482823058137,0.0,0.07746335154246342,0.08389776549738936,0.08654598418480486,0.09251190458072767
DatasetE,5,1,50,,,,,,,0.261429369447936,0.7091867445995392,0.4285190329601878,0.08822222738405516,0.0,0.08660893609371545,0.08331147815959694,0.08450118246339589,0.08729178895683232
DatasetE,5,2,1,0.19922329553821727,0.07538668859463468,68.2530395258707,0.08362097755622899,0.787253223373795,0.5675014677205734,0.3057075915089704,0.17645833262881994,0.4343519965164019,0.08046889239345356,0.08391282653738275,0.0,0.09147249774582789,0.19523888605260287,0.09680942167029927
DatasetE,5,2,10,,,,,,,0.2662097278928512,0.683975428040695,0.4339186186443432,0.09078287777426564,0.0882297595385717,0.0,0.09451102820973611,0.08609131549546278,0.09320770288038105
DatasetE,5,2,50,,,,,,,0.2604476640743767,0.709186786300312,0.4336881370427652,0.08386493525059624,0.0901190420807243,0.0,0.08464680277145709,0.07839371010156215,0.07818281907607272
DatasetE,5,3,1,0.029462015286015917,0.059774569724361425,0.05284652599084938,45.21122106649878,0.30087200327372154,0.05021984186788126,0.2705992164914105,0.08264921691687521,0.3383068917961432,0.08826407036947259,0.08298328365128982,0.08378103647084756,0.0,0.08046481207072032,0.16650678120193052
DatasetE,5,3,10,,,,,,,0.2537888424836478,0.5902048842365791,0.33805150173827675,0.08337941594553833,0.08772517970618399,0.08688115114330541,0.0,0.08647937100579028,0.08798333360878852
DatasetE,5,3,50,,,,,,,0.24816282049928448,0.6154161950229116,0.33785961936064063,0.09132541346377465,0.08723417222108854,0.0867360075940935,0.0,0.08756355731088172,0.08550971752937953
DatasetE,5,4,1,0.0233856492952359,0.08406571714474814,0.0009795598967661811,0.0034229959841624493,49.113013313658975,0.49691138422038855,0.27094244136628687,0.08264922371115013,0.33822901310991715,0.08201603521701228,0.08460752458669796,0.08367314816203009,0.07761794276363476,0.0,0.16131614465419397
DatasetE,5,4,10,,,,,,,0.25134164552040433,0.5902048878970204,0.3379156249643547,0.08289313837576628,0.08053051508923126,0.08566901215160527,0.09016061762516392,0.0,0.08238454265740325
DatasetE,5,4,50,,,,,,,0.24626136427540946,0.6154162189106771,0.337871144825972,0.0861241690875536,0.08892413868495508,0.09796569426190693,0.08640969862400061,0.0,0.07997975956891512
DatasetE,5,5,1,0.004723503852340762,0.0169736434453812,0.027436122396954338,0.005856288088309706,0.30800653003071843,87.41649936511311,0.22894121914679552,0.016418544169396365,0.22920825187178556,0.08393671492797239,0.08687189582970678,0.08159437071966691,0.07356649922663228,0.07883162324896009,0.0
DatasetE,5,5,10,,,,,,,0.23608600268715535,0.3558198508370318,0.22838224124585374,0.08692745573157534,0.0772526746989004,0.09133717298286159,0.09088202292318526,0.08935086800812364,0.0
DatasetE,5,5,50,,,,,,,0.23083158848024393,0.3810311276303277,0.22843079142161551,0.09367327425300331,0.08545220952117916,0.09691153355092474,0.08881844518655546,0.08607647153659137,0.0
DatasetE,6,0,1,39.98291320702034,0.05699048267487248,0.3754720621823025,0.3557874685995543,0.137460178135238,0.09770811813049135,0.31920612585938096,0.3255775784737841,0.5550993150969298,0.0,0.19754694570750164,0.20727031962877351,0.09203409894204562,0.0928772706421257,0.09172460770727175
DatasetE,6,0,10,,,,,,,0.22804556756501376,0.8256981789552573,0.5547250338016785,0.0,0.08572546405157055,0.08896896564185752,0.09139021426806959,0.08827953991951887,0.09536289542732224
DatasetE,6,0,50,,,,,,,0.22462881505083748,0.8375658821243461,0.5552133602186491,0.0,0.09010089376409036,0.09174457334301112,0.08374324603304428,0.08670558226009328,0.0831502481744173
DatasetE,6,1,1,0.009363051307146281,66.32258311512358,0.3422160238248239,0.018975764675809772,0.07119995119181304,0.13436710815676386,0.29961466014042304,0.2162031843099651,0.4296958103822145,0.08472253209572234,0.0,0.08685119485702564,0.19237526080074718,0.09400845464363261,0.10562080046661215
DatasetE,6,1,10,,,,,,,0.25799715831728476,0.7163224122297511,0.42947605711420994,0.08857480417366936,0.0,0.0923050583094649,0.08671398899643945,0.08708344359269526,0.09417912427613961
DatasetE,6,1,50,,,,,,,0.2528663312419489,0.7281901281051849,0.42961277057959046,0.08379099147677227,0.0,0.08974791996284592,0.08436389680088308,0.08905138230653176,0.0843522106812804
DatasetE,6,2,1,0.2062962117777974,0.03176747963747115,69.38497341302882,0.20282662747197494,0.3175805583482104,0.013308211590304675,0.3031346611367105,0.21620318289844265,0.42718195722587693,0.0905636674902186,0.08425850746782682,0.0,0.09120574117226532,0.20125253393864218,0.11473530737101689
DatasetE,6,2,10,,,,,,,0.2586219230789429,0.7163224170662918,0.4269702177386605,0.0767280864325155,0.08967372334369417,0.0,0.08073654445417278,0.09437344512330537,0.08603842303688003
DatasetE,6,2,50,,,,,,,0.2566847931654935,0.7281901346690518,0.4270580122544823,0.08787510351449246,0.08985472732087185,0.0,0.0952853411662602,0.09631529434452846,0.09107466535565045
DatasetE,6,3,1,0.1334430024311956,0.15493556214497545,0.092608248893745,48.69825149141176,0.020989931572568066,0.023683156159769445,0.2810534737915003,0.09120484100310611,0.3358295258857413,0.0872924338226495,0.08925481125335133,0.08793896506275134,0.0,0.08552141578959649,0.16107502777546245
DatasetE,6,3,10,,,,,,,0.25903993384363383,0.5913218340929021,0.33631964312113505,0.0863301297445771,0.08376279725505498,0.07919091880327489,0.0,0.07971256306516539,0.09140123376895071
DatasetE,6,3,50,,,,,,,0.25379446401994477,0.6031896371506016,0.33626040093916637,0.08862051232048751,0.08967764676150436,0.08423223935522017,0.0,0.08843364570284429,0.08809879174368351
DatasetE,6,4,1,0.01871807696096899,0.42291566458222307,0.1028782039031071,0.23978139380275174,46.262861588291535,0.40720918938950174,0.2735783134578117,0.10680580974887732,0.34318058963410003,0.08799237459435671,0.07643683584356586,0.08006185779384789,0.0840588399034885,0.0,0.16827730759949144
